Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
   259     1027671  BEG        1937  AnnotateKernels
   259     1029609  END        1937  AnnotateKernels
   259     1029609  BEG         406  VerifyKernels
   259     1030015  END         406  VerifyKernels
   259     1030016  BEG        3481  LowerSemanticCF
   259     1033497  END        3481  LowerSemanticCF
   259     1033498  BEG       44659  CheckLifetimes
   259     1034893  BEG          10  (A) SymbolTableAnalysis
   259     1034904  END          10  (A) SymbolTableAnalysis
   259     1078158  END       44659  CheckLifetimes
   259     2072985  BEG        2017  AnnotateKernels
   259     2075003  END        2017  AnnotateKernels
   259     2075003  BEG         446  VerifyKernels
   259     2075450  END         446  VerifyKernels
   259     2075450  BEG        3626  LowerSemanticCF
   259     2079076  END        3626  LowerSemanticCF
   259     2079077  BEG       42622  CheckLifetimes
   259     2080533  BEG          10  (A) SymbolTableAnalysis
   259     2080544  END          10  (A) SymbolTableAnalysis
   259     2121700  END       42622  CheckLifetimes
   259     2993568  BEG        1959  AnnotateKernels
   259     2995528  END        1959  AnnotateKernels
   259     2995529  BEG         413  VerifyKernels
   259     2995942  END         413  VerifyKernels
   259     2995942  BEG        3704  LowerSemanticCF
   259     2999646  END        3704  LowerSemanticCF
   259     2999648  BEG       47903  CheckLifetimes
   259     3001109  BEG          10  (A) SymbolTableAnalysis
   259     3001120  END          10  (A) SymbolTableAnalysis
   259     3047551  END       47903  CheckLifetimes
   259     3942694  BEG        2568  AnnotateKernels
   259     3945262  END        2568  AnnotateKernels
   259     3945263  BEG         494  VerifyKernels
   259     3945757  END         494  VerifyKernels
   259     3945757  BEG        4461  LowerSemanticCF
   259     3950219  END        4461  LowerSemanticCF
   259     3950221  BEG       47517  CheckLifetimes
   259     3951894  BEG          12  (A) SymbolTableAnalysis
   259     3951907  END          12  (A) SymbolTableAnalysis
   259     3997739  END       47517  CheckLifetimes
   259     4844634  BEG        2886  AnnotateKernels
   259     4847521  END        2886  AnnotateKernels
   259     4847523  BEG         460  VerifyKernels
   259     4847983  END         460  VerifyKernels
   259     4847984  BEG        3845  LowerSemanticCF
   259     4851829  END        3845  LowerSemanticCF
   259     4851831  BEG       45512  CheckLifetimes
   259     4853351  BEG          10  (A) SymbolTableAnalysis
   259     4853361  END          10  (A) SymbolTableAnalysis
   259     4897343  END       45512  CheckLifetimes
   259     5744898  BEG        2182  AnnotateKernels
   259     5747080  END        2182  AnnotateKernels
   259     5747081  BEG         446  VerifyKernels
   259     5747528  END         446  VerifyKernels
   259     5747528  BEG        3667  LowerSemanticCF
   259     5751196  END        3667  LowerSemanticCF
   259     5751197  BEG       44096  CheckLifetimes
   259     5752638  BEG          10  (A) SymbolTableAnalysis
   259     5752649  END          10  (A) SymbolTableAnalysis
   259     5795294  END       44096  CheckLifetimes
   259     6636866  BEG        1767  AnnotateKernels
   259     6638634  END        1767  AnnotateKernels
   259     6638634  BEG         369  VerifyKernels
   259     6639004  END         369  VerifyKernels
   259     6639004  BEG        3202  LowerSemanticCF
   259     6642206  END        3202  LowerSemanticCF
   259     6642208  BEG       38779  CheckLifetimes
   259     6643537  BEG          11  (A) SymbolTableAnalysis
   259     6643548  END          11  (A) SymbolTableAnalysis
   259     6680988  END       38779  CheckLifetimes
   259   251732680  BEG        2085  AnnotateKernels
   259   251734766  END        2085  AnnotateKernels
   259   251734766  BEG         422  VerifyKernels
   259   251735189  END         422  VerifyKernels
   259   251735189  BEG        3752  LowerSemanticCF
   259   251738941  END        3752  LowerSemanticCF
   259   251738943  BEG       44904  CheckLifetimes
   259   251740394  BEG          10  (A) SymbolTableAnalysis
   259   251740405  END          10  (A) SymbolTableAnalysis
   259   251783848  END       44904  CheckLifetimes
   259   252701602  BEG        2231  AnnotateKernels
   259   252703834  END        2231  AnnotateKernels
   259   252703834  BEG         464  VerifyKernels
   259   252704299  END         464  VerifyKernels
   259   252704299  BEG        3780  LowerSemanticCF
   259   252708080  END        3780  LowerSemanticCF
   259   252708081  BEG       46354  CheckLifetimes
   259   252709656  BEG          11  (A) SymbolTableAnalysis
   259   252709668  END          11  (A) SymbolTableAnalysis
   259   252754435  END       46354  CheckLifetimes
   259   253619784  BEG        2128  AnnotateKernels
   259   253621913  END        2128  AnnotateKernels
   259   253621913  BEG         440  VerifyKernels
   259   253622354  END         440  VerifyKernels
   259   253622354  BEG        3917  LowerSemanticCF
   259   253626272  END        3917  LowerSemanticCF
   259   253626274  BEG       45011  CheckLifetimes
   259   253627930  BEG          12  (A) SymbolTableAnalysis
   259   253627942  END          12  (A) SymbolTableAnalysis
   259   253671285  END       45011  CheckLifetimes
   259   257588451  BEG        2385  AnnotateKernels
   259   257590837  END        2385  AnnotateKernels
   259   257590838  BEG         465  VerifyKernels
   259   257591304  END         465  VerifyKernels
   259   257591304  BEG        4689  LowerSemanticCF
   259   257595994  END        4689  LowerSemanticCF
   259   257595996  BEG       62924  CheckLifetimes
   259   257597669  BEG          12  (A) SymbolTableAnalysis
   259   257597682  END          12  (A) SymbolTableAnalysis
   259   257658920  END       62924  CheckLifetimes
   259   260312851  BEG        2073  AnnotateKernels
   259   260314924  END        2073  AnnotateKernels
   259   260314924  BEG         416  VerifyKernels
   259   260315341  END         416  VerifyKernels
   259   260315341  BEG        3813  LowerSemanticCF
   259   260319154  END        3813  LowerSemanticCF
   259   260319155  BEG       45005  CheckLifetimes
   259   260320667  BEG          10  (A) SymbolTableAnalysis
   259   260320677  END          10  (A) SymbolTableAnalysis
   259   260364161  END       45005  CheckLifetimes
   259   261668526  BEG        2102  AnnotateKernels
   259   261670629  END        2102  AnnotateKernels
   259   261670630  BEG         422  VerifyKernels
   259   261671053  END         422  VerifyKernels
   259   261671053  BEG        3752  LowerSemanticCF
   259   261674805  END        3752  LowerSemanticCF
   259   261674807  BEG       44746  CheckLifetimes
   259   261676406  BEG          11  (A) SymbolTableAnalysis
   259   261676418  END          11  (A) SymbolTableAnalysis
   259   261719553  END       44746  CheckLifetimes
   259   262691175  BEG        2253  AnnotateKernels
   259   262693428  END        2253  AnnotateKernels
   259   262693429  BEG         441  VerifyKernels
   259   262693870  END         441  VerifyKernels
   259   262693871  BEG        3806  LowerSemanticCF
   259   262697677  END        3806  LowerSemanticCF
   259   262697678  BEG       44813  CheckLifetimes
   259   262699186  BEG          12  (A) SymbolTableAnalysis
   259   262699198  END          12  (A) SymbolTableAnalysis
   259   262742492  END       44813  CheckLifetimes
   259   263627394  BEG        2095  AnnotateKernels
   259   263629489  END        2095  AnnotateKernels
   259   263629490  BEG         411  VerifyKernels
   259   263629901  END         411  VerifyKernels
   259   263629902  BEG        3844  LowerSemanticCF
   259   263633746  END        3844  LowerSemanticCF
   259   263633748  BEG       44568  CheckLifetimes
   259   263635293  BEG          11  (A) SymbolTableAnalysis
   259   263635304  END          11  (A) SymbolTableAnalysis
   259   263678316  END       44568  CheckLifetimes
   259   266135623  BEG        2163  AnnotateKernels
   259   266137787  END        2163  AnnotateKernels
   259   266137788  BEG         458  VerifyKernels
   259   266138246  END         458  VerifyKernels
   259   266138247  BEG        3864  LowerSemanticCF
   259   266142111  END        3864  LowerSemanticCF
   259   266142113  BEG       45105  CheckLifetimes
   259   266143676  BEG          11  (A) SymbolTableAnalysis
   259   266143688  END          11  (A) SymbolTableAnalysis
   259   266187218  END       45105  CheckLifetimes
   259   268962993  BEG        2044  AnnotateKernels
   259   268965037  END        2044  AnnotateKernels
   259   268965038  BEG         417  VerifyKernels
   259   268965455  END         417  VerifyKernels
   259   268965456  BEG        3824  LowerSemanticCF
   259   268969280  END        3824  LowerSemanticCF
   259   268969281  BEG       44106  CheckLifetimes
   259   268970754  BEG          10  (A) SymbolTableAnalysis
   259   268970764  END          10  (A) SymbolTableAnalysis
   259   269013387  END       44106  CheckLifetimes
   259   271854620  BEG        2143  AnnotateKernels
   259   271856763  END        2143  AnnotateKernels
   259   271856764  BEG         452  VerifyKernels
   259   271857216  END         452  VerifyKernels
   259   271857217  BEG        4020  LowerSemanticCF
   259   271861237  END        4020  LowerSemanticCF
   259   271861239  BEG       45134  CheckLifetimes
   259   271862794  BEG          11  (A) SymbolTableAnalysis
   259   271862806  END          11  (A) SymbolTableAnalysis
   259   271906374  END       45134  CheckLifetimes
   259   274437485  BEG        2152  AnnotateKernels
   259   274439637  END        2152  AnnotateKernels
   259   274439637  BEG         439  VerifyKernels
   259   274440077  END         439  VerifyKernels
   259   274440077  BEG        3847  LowerSemanticCF
   259   274443925  END        3847  LowerSemanticCF
   259   274443926  BEG       44277  CheckLifetimes
   259   274445471  BEG          11  (A) SymbolTableAnalysis
   259   274445482  END          11  (A) SymbolTableAnalysis
   259   274488204  END       44277  CheckLifetimes
   259   275453607  BEG        2058  AnnotateKernels
   259   275455665  END        2058  AnnotateKernels
   259   275455666  BEG         418  VerifyKernels
   259   275456085  END         418  VerifyKernels
   259   275456085  BEG        3794  LowerSemanticCF
   259   275459880  END        3794  LowerSemanticCF
   259   275459881  BEG       44495  CheckLifetimes
   259   275461405  BEG          10  (A) SymbolTableAnalysis
   259   275461415  END          10  (A) SymbolTableAnalysis
   259   275504377  END       44495  CheckLifetimes
   259   276356815  BEG        2253  AnnotateKernels
   259   276359068  END        2253  AnnotateKernels
   259   276359070  BEG         488  VerifyKernels
   259   276359559  END         488  VerifyKernels
   259   276359561  BEG        4089  LowerSemanticCF
   259   276363650  END        4089  LowerSemanticCF
   259   276363651  BEG       45696  CheckLifetimes
   259   276365162  BEG          11  (A) SymbolTableAnalysis
   259   276365173  END          11  (A) SymbolTableAnalysis
   259   276409348  END       45696  CheckLifetimes
   259   817466329  BEG        2186  AnnotateKernels
   259   817468516  END        2186  AnnotateKernels
   259   817468517  BEG         459  VerifyKernels
   259   817468976  END         459  VerifyKernels
   259   817468977  BEG        3833  LowerSemanticCF
   259   817472810  END        3833  LowerSemanticCF
   259   817472811  BEG       43475  CheckLifetimes
   259   817474322  BEG          10  (A) SymbolTableAnalysis
   259   817474332  END          10  (A) SymbolTableAnalysis
   259   817516286  END       43475  CheckLifetimes
   259   820246320  BEG        2155  AnnotateKernels
   259   820248475  END        2155  AnnotateKernels
   259   820248476  BEG         444  VerifyKernels
   259   820248920  END         444  VerifyKernels
   259   820248921  BEG        3901  LowerSemanticCF
   259   820252822  END        3901  LowerSemanticCF
   259   820252824  BEG       44415  CheckLifetimes
   259   820254367  BEG          11  (A) SymbolTableAnalysis
   259   820254378  END          11  (A) SymbolTableAnalysis
   259   820297239  END       44415  CheckLifetimes
   259   830126313  BEG        2208  AnnotateKernels
   259   830128521  END        2208  AnnotateKernels
   259   830128523  BEG         420  VerifyKernels
   259   830128944  END         420  VerifyKernels
   259   830128944  BEG        3787  LowerSemanticCF
   259   830132732  END        3787  LowerSemanticCF
   259   830132733  BEG       44633  CheckLifetimes
   259   830134226  BEG          10  (A) SymbolTableAnalysis
